variant,kind,s,phi_link,meanB_loop,meanB_farhalf,loop_len
k1r,link,10.9673,-0.504729,0.000175755,1.37113e-06,68.9096
k1r,ctrl,10.9673,-1.00505e-07,3.72093e-05,1.31169e-06,68.9096
k1r,link,12.5027,-0.504728,0.000153861,9.24856e-07,78.557
k1r,ctrl,12.5027,-8.1535e-08,3.26366e-05,8.93721e-07,78.557
k1r,link,14.2531,-0.504728,0.000135421,6.2393e-07,89.5549
k1r,ctrl,14.2531,-6.4708e-08,2.86244e-05,6.07653e-07,89.5549
k1r,link,16.2485,-0.504728,0.0001178,4.20968e-07,102.093
k1r,ctrl,16.2485,-4.99808e-08,2.51048e-05,4.12471e-07,102.093
k2r,link,0.7000,-0.59322,0.0487218,0.0925944,4.39823
k2r,ctrl,0.7000,1.08023e-07,0.00038999,0.000347546,4.39823
k2r,link,0.7980,-0.583858,0.00799806,0.0114835,5.01398
k2r,ctrl,0.7980,1.27265e-07,0.000375897,0.000324503,5.01398
k2r,link,0.9097,-0.582636,0.00424619,0.00428886,5.71594
k2r,ctrl,0.9097,1.43599e-07,0.000359515,0.000298282,5.71594
k2r,link,1.0371,-0.582468,0.00322264,0.00255871,6.51617
k2r,ctrl,1.0371,1.51483e-07,0.000340911,0.000269299,6.51617
k2r,link,1.1823,-0.582446,0.00259379,0.00163405,7.42843
k2r,ctrl,1.1823,1.47784e-07,0.000320315,0.000238288,7.42843
k2r,link,1.3478,-0.582443,0.00213638,0.00105889,8.46842
k2r,ctrl,1.3478,1.30457e-07,0.000298128,0.000206273,8.46842
k2r,link,1.5365,-0.582443,0.0017862,0.000691476,9.65399
k2r,ctrl,1.5365,9.71719e-08,0.000274883,0.000174455,9.65399
k2r,link,1.7516,-0.582443,0.00150976,0.000454274,11.0056
k2r,ctrl,1.7516,4.64142e-08,0.000251195,0.000144054,11.0056
k2r,link,1.9968,-0.582443,0.00128659,0.000299976,12.5463
k2r,ctrl,1.9968,-2.10362e-08,0.000227679,0.000116134,12.5463
k2r,link,2.2764,-0.582444,0.0011033,0.000198949,14.3028
k2r,ctrl,2.2764,-1.02027e-07,0.000204887,9.1466e-05,14.3028
k2r,link,2.5951,-0.582444,0.000950714,0.000132424,16.3052
k2r,ctrl,2.5951,-1.91901e-07,0.000183259,7.04603e-05,16.3052
k2r,link,2.9584,-0.582444,0.000822329,8.84046e-05,18.5879
k2r,ctrl,2.9584,-2.85587e-07,0.000163099,5.3178e-05,18.5879
k2r,link,3.3725,-0.582444,0.000713392,5.91583e-05,21.1903
k2r,ctrl,3.3725,-3.78517e-07,0.000144585,3.93981e-05,21.1903
k2r,link,3.8447,-0.582444,0.000620331,3.96624e-05,24.1569
k2r,ctrl,3.8447,-4.67183e-07,0.000127782,2.87148e-05,24.1569
